"GTIN","Item ID","Vendor (Seller) SKU","Product Name","Brand Name","Publishing Status","Item Lifecycle","Available Units","Reserved Units","Damaged Receipts","Inbound Units","Inventory Movement","Inventory review","Cube Used","First In Stock Date","Sell Through Rate","Days of supply","Predicted out of stock date","Forecast Jun 20 - Jul 17","Forecast Jul 18 - Aug 14","Suggested Units","Surplus Units","ATS 0-90 days","ATS 91-180 days","ATS 181-270 days","ATS 271-365 days","ATS 366-450 days","ATS 450+ days","Last 30 days units received","Last 30 days PO units","Last 7 days units sales","Last 7 days sales","Last 7 days instock days","Last 30 days units sales","Last 30 days sales","Last 30 days instock days","Going to expire in 31 to 60 days","Going to expire in 61 to 90 days"
"=""00019045197101""","46907482","2024-09-29-549-BL1560","Curel Itch Defense Lotion 6 oz","Curél","Error","Retired","0","0","0","0","0","0","0.000","2024-10-15","0.00","0","2025-11-19","","","","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0"
"=""00030000567340""","965993911","2025-12-15-255-HT1197","Quaker Instant Oatmeal, Raisin Date Walnut, 10.4 Oz","Quaker","Published","Active","4","0","0","0","0","0","0.250","2026-02-01","9.00","Over 50","2026-08-18","0","0","0","0","4","0","0","0","0","0","0","0","0","0.00","7","1","11.50","30","0","0"
"=""00041953001942""","216196023","2026-05-20-750-HT1899","Lavazza Perfetto Whole Bean Coffee House Blend, Medium","Lavazza","Published","Active","0","0","0","0","0","0","0.000","2026-06-07","0.00","0","2026-06-18","1","1","2","0","0","0","0","0","0","0","0","0","1","17.99","2","2","35.98","8","0","0"
"=""00013300001325""","10850026","2024-10-18-100-FL895","Martha White Muffin Mix Cranberry Orange 7 OZ Bag","Martha White","Published","Active","0","0","0","8","0","0","0.000","2024-10-31","17.71","28","2026-06-20","8","7","7","0","0","0","0","0","0","0","2","18","2","14.98","4","11","82.39","26","0","0"
"=""00067312051526""","5095431895","2025-06-23-297-1395","VOORTMAN Bakery Zero Sugar Fudge Brownie Chocolate Chip Mini Cookies 5 oz","Voortman","Published","Active","0","0","0","0","0","0","0.000","2025-07-06","0.00","0","2025-11-19","","","","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0"
"=""00071249651001""","783335637","2025-05-16-225-DG1177","L'Oreal Paris Elvive Dream Lengths Curls Moisture Push Shampoo, Paraben-Free, 12.6 fl. oz.","L’Oréal Paris","Unpublished","Retired","0","0","0","0","0","0","0.000","2025-05-22","0.00","0","2025-11-19","","","","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0"
"=""00305210046443""","613142687","2024-11-16-270-DG1248","Vaseline Intensive Care Body Lotion Sensitive Skin Relief for Women Dry Skin, 20.3 oz","Vaseline","Error","Retired","0","0","0","0","0","0","0.000","2024-11-27","0.00","0","2025-11-19","","","","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0"
"=""00718604146542""","10309685","2025-04-04-350-HT1199","Nonni's Decadence Biscotti, 6.88 Oz.","Nonni's","Published","Active","3","0","0","4","0","0","0.283","2025-04-13","8.00","78","2026-09-09","3","2","0","0","4","0","0","0","0","0","0","12","0","0.00","7","4","40.00","29","0","0"
"=""00810140670199""","5063930869","2024-10-26-050-WM880","Nostalgia 2-Quart Homemade Premium Lemon Crème Ice Cream Starter Mix","Nostalgia","Unpublished","Archived","0","0","0","0","0","0","0.000","2024-10-31","0.00","0","2025-11-19","","","","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0"
"=""00026000189910""","314027779","2024-09-27-199-BL1036","Elmer's Brands 5 oz. Red-Orange Cosmic Glue","Elmer's","Unpublished","Archived","0","0","0","0","0","0","0.000","2024-10-07","0.00","0","2025-11-19","","","","0","0","0","0","0","0","0","0","0","0","0.00","0","0","0.00","0","0","0"
