Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition
"Quaker Cheddar Cheese Flavored Instant Grits, 9.8 oz Paperboard Box",2029-01-24-265-HT1199,82.36,7,8,79,10.126582278481013,345773192,345773192,414,206.52173913043475,94.13,11.77,0.00,HOT CEREAL,Quaker,95.97904205322266,75.78,11.76625000000000000,1,New
"Star Wars Epic Hero Series Darth Maul Action Figure, Toys for 4 Year Old Boys & Girls (4"")",2025-03-21-355-WM1288,32.00,3,3,20,15.0,5261236835,5261236835,28,10.714285714285714,32.00,0.00,0.00,ACTION FIGURES,Star Wars,100.0,27.50,10.66666666670000000,0,New
"Louisiana Fish Fry Creamy Tartar Sauce with Relish & Lemon, 10.5 oz Bottle",2025-11-08-200-FL1080,59.85,5,6,63,9.523809523809524,10535329,10535329,3950,48.10126582278481,71.74,11.89,0.00,PREP SAUCES DRESSING CONDIMENTS,Louisiana Fish Fry Products,94.17938232421875,55.06,11.95666666670000000,1,New
Ken's Steak House Lite Chunky Blue Cheese Salad Dressing 16 fl oz,2026-01-16-240-PB1499,56.00,4,5,39,12.82051282051282,13424505,13424505,73,8.21917808219178,70.00,14.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Ken's Steak House,100.0,51.52,14.00000000000000000,1,New
"Kraft Peppercorn Ranch Salad Dressing, 16 fl oz Bottle",2025-05-03-299-FL1158,0.00,0,0,0,"",10295727,10295727,40,0.0,0.00,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Kraft,0.0,0.00,"",0,New
"Bobos Oat Bars, Dipp'd Original Oat Bar + Dark Chocolate Bar, 5 Pack of 1oz Bars, 1 Count",2025-05-20-298-LF10,10.00,1,1,6,16.666666666666664,2485017192,2485017192,10,10.0,10.00,0.00,0.00,QUICK AND WHOLESOME SNACKING,Bobo's,92.3780517578125,9.20,10.00000000000000000,0,New
"Bull's-Eye Everyday Original BBQ Sauce, 17.5 oz Bottle",2024-09-20-125-DG1196,9.99,1,1,1,100.0,118363865,118363865,2,50.0,9.99,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Bull's-Eye,94.05646514892578,9.19,9.99000000000000000,0,New
"Duncan Hines Signature Perfectly Moist French Vanilla Cake Mix, 15.25 oz.",2025-04-12-150-FL1040,0.00,0,0,0,"",171105271,171105271,240,128.33333333333334,0.00,0.00,0.00,BAKING AND MIXES,Duncan Hines,34.670963287353516,0.00,"",0,New
"Kraft Honey Mustard Dressing, 16 fl oz Bottle",2025-04-19-250-LF1294,20.40,2,2,31,6.451612903225806,15610381,15610381,258,122.86821705426357,20.40,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Kraft,84.80210876464844,18.76,10.20000000000000000,0,New
"Nature Valley Soft-Baked Muffin Bars, Apple Cinnamon, Snack Bars, 5 Bars, 6.2 OZ",2024-11-29-280-FL1075,0.00,0,0,0,"",225780291,225780291,4,25.0,0.00,0.00,0.00,QUICK AND WHOLESOME SNACKING,Nature Valley,0.0,0.00,"",0,New
Biore daily detox GREEN TEA EXTRACT CLEANSER 5 oz ORIGINAL,2024-11-15-270-DG1499,0.00,0,0,0,"",5471768932,5471768932,2,0.0,0.00,0.00,0.00,SKINCARE,Bioré,0.0,0.00,"",0,New
"Nature Valley Granola Bars, Sweet and Salty Nut, Chocolate Pretzel Nut, 6 Bars, 7.4 oz",2025-01-30-210-LF779,20.00,2,2,38,5.263157894736842,25847955,25847955,58,3.4482758620689653,20.00,0.00,0.00,QUICK AND WHOLESOME SNACKING,Nature Valley,57.3995475769043,18.40,10.00000000000000000,0,New
"Olay Ultra Fresh Bath Bar Soap with Notes of Rosewater, 6 Bbars",2025-05-16-375-DG1399,0.00,0,0,0,"",2080507021,2080507021,3,0.0,0.00,0.00,0.00,BODY CARE,Olay,0.0,0.00,"",0,New
"Wish-Bone Chipotle Ranch Salad Dressing, 15 fl oz",2026-04-10-255-HT1099,21.98,2,2,20,10.0,55500614,55500614,29,6.896551724137931,21.98,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Wish-Bone,100.0,20.22,10.99000000000000000,0,New
Chapstick - Red Raspberry - Flavored Lip Care 0.15 oz,2024-12-29-150-DG899,0.00,0,0,0,"",5336764608,5336764608,0,"",0.00,0.00,0.00,COSMETICS,ChapStick,0.0,0.00,"",0,New
"Special K Bar Blueberry Chewy Pastry Crisps, 100 Calorie Snacks, 5.28 oz, 12 Count",2024-09-13-299-BL1285,39.49,4,4,16,25.0,166176394,166176394,333,15.015015015015015,49.45,0.00,9.96,QUICK AND WHOLESOME SNACKING,Special K Bar,41.80055618286133,36.34,9.89000000000000000,0,New
"",2025-04-26-335-DG1149,0.00,0,0,0,"",762242920,"",6,0.0,0.00,0.00,0.00,COSMETICS,ChapStick,0.0,0.00,"",0,New
"BIC Soleil Escape Women's Disposable Razors With 3 Blades, Lavender & Eucalyptus Scented Handles, 4 Count",2025-02-28-290-DG10,8.02,1,1,2,50.0,200682962,200682962,3,33.33333333333333,8.02,0.00,0.00,SHAVE AND GROOMING,BIC,95.2919692993164,7.38,8.02000000000000000,0,New
"Luzianne Cold Brew Iced Tea, 22 Count",2026-03-08-204-LF1250,132.07,11,10,76,13.157894736842104,22002543,22002543,825,42.66666666666667,143.98,11.91,0.00,HOT BEVERAGE,Luzianne,44.403770446777344,121.52,11.99833333330000000,1,New
Harvest Snaps Organic Snack Crisps Sea Salt 3.0 oz. Bag,2025-10-17-200-HT10,10.00,1,1,1,100.0,2012428397,2012428397,50,4.0,10.00,0.00,0.00,SALTY SNACKS,Harvest Snaps,37.962257385253906,9.20,10.00000000000000000,0,New
"Suave Professionals Curl Defining Hair Cream for Natural Hair, 12 oz",2024-11-16-279-DG2623,0.00,0,0,0,"",161042490,161042490,0,"",0.00,0.00,0.00,EVERYDAY HAIRCARE,Suave,0.0,0.00,"",0,New
"McCormick Non-GMO Rum Extract With Other Natural Flavors, 1.0 fl oz Box",2024-10-18-250-FL948,0.00,0,0,0,"",10308882,10308882,92,30.434782608695656,0.00,0.00,0.00,SPICES AND SALT,McCormick,0.0,0.00,"",0,New
"Fiber One 70 Calorie Soft-Baked Bars, Cinnamon Coffee Cake, 6 Bars, 5.34 oz",2024-11-23-300-DG1049,0.00,0,0,0,"",25847930,25847930,29,0.0,0.00,0.00,0.00,QUICK AND WHOLESOME SNACKING,Fiber One,36.58498001098633,0.00,"",0,New
"Nonni's Bakery, Limone Biscotti, Individually Wrapped, 6.88 oz, 8 Count",2024-10-12-349-BL,0.00,0,0,1,0.0,10309682,10309682,72,6.944444444444445,0.00,0.00,0.00,COOKIES AND CRACKERS,Nonni's,41.773231506347656,0.00,"",0,New
"Fruit Roll-Ups Fruit Flavored Snacks, Strawberry Blast, 10 Ct, 5 oz",2024-11-08-189-BL10,0.00,0,0,3,0.0,10311498,10311498,54,31.48148148148148,0.00,0.00,0.00,LUNCHBOX SNACKS,Fruit Roll-Ups,77.55504608154297,0.00,"",0,New
"Beaverton Foods Beaver Jalapeno Mustard, 13 oz",2025-03-23-276-HT1593,0.00,0,0,0,"",30990332,30990332,0,"",0.00,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Beaver Brand,0.0,0.00,"",0,New
"Nonni's Bakery, Cioccolati Almond Biscotti, Individually Wrapped, 6.88 oz, 8 Count",2024-10-30-389-BL999,0.00,0,0,0,"",10309684,10309684,345,6.956521739130435,0.00,0.00,0.00,COOKIES AND CRACKERS,Nonni's,78.71295166015625,0.00,"",0,New
"Stauffer's SNAPS Ginger Cookies, 14oz Shelf-Stable Bag",2024-09-10-249-BL1282,0.00,0,0,4,0.0,37712280,37712280,240,3.75,0.00,0.00,0.00,COOKIES AND CRACKERS,Stauffer's,100.0,0.00,"",0,New
SEATTLE'S BEST COFFEE 6th Ave Bistro Ground Coffee K-Cup Pods 10 Count 4.4oz Box,2024-09-28-549-FL1489,0.00,0,0,0,"",1491216569,1491216569,0,"",0.00,0.00,0.00,HOT BEVERAGE,Seattle's Best Coffee,0.0,0.00,"",0,New
"Kraft Green Goddess Dressing, 16 fl oz Bottle",2025-06-08-250-LF1575,35.89,3,3,95,3.1578947368421053,10291814,10291814,304,4.276315789473684,35.89,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Kraft,96.11959075927734,33.01,11.96333333330000000,0,New
"Nature Valley Biscuit Sandwiches, Cocoa Almond Butter, 5 ct, 6.75 OZ",2025-01-18-205-LF1198,168.80,14,8,35,22.857142857142858,144414668,144414668,85,9.411764705882353,168.80,0.00,0.00,QUICK AND WHOLESOME SNACKING,Nature Valley,57.281795501708984,155.30,12.05714285710000000,0,New
"Quaker Instant Oatmeal, Maple & Brown Sugar, 1.19 oz, 8 Count Box",2026-01-02-300-LF1099,10.00,1,1,10,10.0,435400766,435400766,364,160.16483516483518,10.00,0.00,0.00,HOT CEREAL,Quaker,44.37199401855469,9.20,10.00000000000000000,0,New
"Alpine Spiced Cider Original Powdered Drink Mix, Apple Flavor, 10 Pouches",2026-02-17-300-LF1000,20.00,2,2,31,6.451612903225806,10307486,10307486,325,112.92307692307692,20.00,0.00,0.00,HOT BEVERAGE,Alpine,48.25240707397461,18.40,10.00000000000000000,0,New
"Kellogg's Nutri-Grain Blueberry Chewy Breakfast Bars, Made with 10g Whole Grains, 10.4 oz, 8 Count",2024-12-08-255-LF1064,10.00,1,1,22,4.545454545454546,10818672,10818672,930,66.02150537634408,10.00,0.00,0.00,QUICK AND WHOLESOME SNACKING,Kellogg's Nutri-Grain,41.773231506347656,9.20,10.00000000000000000,0,New
House Autry Extra Sweet Onion Hushpuppy Mix 10z Bag,2024-10-18-225-FL1295,10.15,1,2,9,11.11111111111111,697783809,697783809,178,39.325842696629216,21.14,10.99,0.00,DRY MIXES AND VINEGAR,House-Autry,100.0,10.11,10.57000000000000000,1,New
"Planters Nuts and Chocolate Trail Mix, Plant Based Protein, 6 oz Bag",2025-04-19-250-DG10,0.00,0,0,10,0.0,10824549,10824549,482,3.5269709543568464,0.00,0.00,0.00,QUICK AND WHOLESOME SNACKING,PLANTERS,39.232582092285156,0.00,"",0,New
Duke's Carolina Gold BBQ Sauce 17 Ounce Bottle,2025-12-23-204-FL1285,10.98,1,1,14,7.142857142857142,569659028,569659028,56,46.42857142857143,10.98,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Duke's,38.55137634277344,10.10,10.98000000000000000,0,New
"Special K Bar Brown Sugar Cinnamon Chewy Pastry Crisps, Ready-to-Eat, 100 Calorie Snacks, 5.28 oz, 12 Count",2024-10-25-299-BL1102,20.00,2,2,0,"",145228704,145228704,245,17.551020408163264,20.00,0.00,0.00,BAKERY BREAKFAST,Special K Bar,100.0,18.40,10.00000000000000000,0,New
"Quaker Gluten-Free Cheddar Flavored Rice Crisps, 3.03 Oz.",2026-03-02-200-PB10,10.00,1,1,1,100.0,10312604,10312604,22,9.090909090909092,10.00,0.00,0.00,SALTY SNACKS,Quaker,96.07540893554688,9.20,10.00000000000000000,0,New
Miltons Craft Bakers KHFM00313026 6 oz Organic Himalayan Salt Crackers,2025-12-12-255-HT10,11.99,1,1,2,50.0,376968653,376968653,2,50.0,11.99,0.00,0.00,COOKIES AND CRACKERS,Milton's,100.0,11.03,11.99000000000000000,0,New
"belVita Breakfast Bars Biscuits, Cranberry Orange, 5 Packs (4 Biscuits Per Pack)",2026-01-23-300-FL1190,22.98,2,2,27,7.4074074074074066,44754087,44754087,947,285.53326293558604,22.98,0.00,0.00,COOKIES AND CRACKERS,belVita,41.773231506347656,21.14,11.49000000000000000,0,New
"Kraft Creamy Italian Dressing, 16 fl oz Bottle",2026-05-15-208-HT1094,13.34,1,1,1,100.0,10295688,10295688,133,216.54135338345864,13.34,0.00,0.00,PREP SAUCES DRESSING CONDIMENTS,Kraft,64.1685791015625,12.46,13.34000000000000000,0,New
"Dove Teens Long Lasting Women's Antiperspirant Deodorant Stick, Mango Sunshine, 2.6 oz",2025-02-28-328-DG1302,0.00,0,0,0,"",1020862190,1020862190,0,"",0.00,0.00,0.00,BODY CARE,Dove,0.0,0.00,"",0,New
